"country","years","value"
"Germany",2012-01-01,10.7760165537877
"Germany",2013-01-01,10.9605476950666
"Germany",2014-01-01,10.4178063161794
"Germany",2015-01-01,10.3745275954709
"Germany",2016-01-01,10.3240284308663
"Germany",2017-01-01,10.0735567447752
"Germany",2018-01-01,9.72296479876398
"European Union",1990-01-01,10.8334800175835
"European Union",1991-01-01,10.6185580308487
"European Union",1992-01-01,10.2469740383748
"European Union",1993-01-01,10.0414024448877
"European Union",1994-01-01,9.97745350327777
"European Union",1995-01-01,10.076832900396
"European Union",1996-01-01,10.3123035144547
"European Union",1997-01-01,10.1145383907446
"European Union",1998-01-01,10.0063098989494
"European Union",1999-01-01,9.81872189196078
"European Union",2000-01-01,9.80367901024777
"European Union",2001-01-01,9.89744887566058
"European Union",2002-01-01,9.83037240128327
"European Union",2003-01-01,9.99845213843786
"European Union",2004-01-01,9.95327060041004
"European Union",2005-01-01,9.84496719812418
"European Union",2006-01-01,9.801599913336
"European Union",2007-01-01,9.6864449731368
"European Union",2008-01-01,9.44735250953543
"European Union",2009-01-01,8.80291063594414
"European Union",2010-01-01,8.97059845538181
"European Union",2011-01-01,8.73405853261541
"European Union",2012-01-01,8.58231733111762
"European Union",2013-01-01,8.38803637319437
"European Union",2014-01-01,8.03833970756014
"European Union",2015-01-01,8.14668952242927
"European Union",2016-01-01,8.13117793390179
"European Union",2017-01-01,8.14827716914617
"European Union",2018-01-01,7.98158284703162
